"title","url","published_at","tags_json","tags_sc","published_at_detail","thumbnail_url"
"카카오, ‘제13회 브런치북 출판 프로젝트’ 개최","https://www.kakaocorp.com/page/detail/11679","2025-08-25","[""브런치북"", ""브런치스토리"", ""카카오""]","브런치북; 브런치스토리; 카카오","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/de6da1ba019800001.png?type=thumb&opt=C800x400"
"카카오, ‘2025 찾아가는 카카오 클래스’ 오프라인 과정 참가자 모집","https://www.kakaocorp.com/page/detail/11678","2025-08-21","[""카카오클래스"", ""카카오"", ""카카오채널""]","카카오클래스; 카카오; 카카오채널","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/c603aebf019800001.png?type=thumb&opt=C800x400"
"카카오, ‘사이좋은 디지털 세상’ 10주년 맞아 AI 맞춤형 교육으로 개편··· 2025년 2학기 참여 학교 모집","https://www.kakaocorp.com/page/detail/11677","2025-08-20","[""더가깝게카카오"", ""사이좋은디지털세상"", ""카카오"", ""카카오임팩트""]","더가깝게카카오; 사이좋은디지털세상; 카카오; 카카오임팩트","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/c4adeba0019800001.jpg?type=thumb&opt=C800x400"
"카카오, ‘카카오테크 캠퍼스 아이디어톤’으로 전국 5개 국립대 손잡고 지역 기술 인재 양성 박차","https://www.kakaocorp.com/page/detail/11676","2025-08-14","[""ESG"", ""기술인재양성"", ""카카오테크""]","ESG; 기술인재양성; 카카오테크","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/a5c41c35019800001.jpeg?type=thumb&opt=C800x400"
"카카오, 에이전틱 AI 생태계 확장 본격화… 국내 최초 MCP 실험 공간 ‘PlayMCP’ 베타 오픈","https://www.kakaocorp.com/page/detail/11674","2025-08-13","[""카카오"", ""MCP"", ""PlayMCP"", ""AI에이젼트""]","카카오; MCP; PlayMCP; AI에이젼트","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/a0b3f2b9019800001.png?type=thumb&opt=C800x400"
"카카오, 취향기반 커머스 플랫폼 ‘ShowRoom(쇼룸)’ 오픈","https://www.kakaocorp.com/page/detail/11675","2025-08-13","[""카카오쇼핑라이브"", ""카쇼라"", ""쇼룸"", ""커머스플랫폼""]","카카오쇼핑라이브; 카쇼라; 쇼룸; 커머스플랫폼","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/a0cdfc9c019800001.jpg?type=thumb&opt=C800x400"
"카카오, 2025 카카오 클래스 참가자 모집…지역 소상공인 디지털 전환 돕는다","https://www.kakaocorp.com/page/detail/11667","2025-08-12","[""카카오클래스"", ""디지털전환""]","카카오클래스; 디지털전환","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/97b9a620019800001.jpg?type=thumb&opt=C800x400"
"카카오, ‘공공혁신 리포트 2025’ 발표…행정불편 해소 및 사회안전망 강화에 기여","https://www.kakaocorp.com/page/detail/11668","2025-08-12","[""사회경제적가치"", ""공공혁신리포트"", ""행정불편해소"", ""사회안전망강화""]","사회경제적가치; 공공혁신리포트; 행정불편해소; 사회안전망강화","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/9bd17e1e019800001.png?type=thumb&opt=C800x400"
"카카오, 카카오톡 예약하기∙카카오맵에 ‘편의점 택배’ 서비스 오픈","https://www.kakaocorp.com/page/detail/11660","2025-08-11","[""카카오톡예약하기"", ""예약하기"", ""편의점택배"", ""카카오맵""]","카카오톡예약하기; 예약하기; 편의점택배; 카카오맵","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/9666085e019800001.png?type=thumb&opt=C800x400"
"카카오, 2025년 2분기 사상 최대 실적… 매출액 2조 283억원·영업이익 1,859억원","https://www.kakaocorp.com/page/detail/11651","2025-08-07","[""2025년실적"", ""2분기실적"", ""IR"", ""실적발표""]","2025년실적; 2분기실적; IR; 실적발표","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/818160a2019800001.png?type=thumb&opt=C800x400"
"카카오, APEC 2025 KOREA 글로벌 디지털·AI 포럼 기업 전시 참여... 자체 개발 AI 모델 시연 및 체험공간 선보여","https://www.kakaocorp.com/page/detail/11650","2025-08-05","[""APEC2025"", ""자체개발AI모델"", ""카카오""]","APEC2025; 자체개발AI모델; 카카오","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/77a1d1dc019800001.png?type=thumb&opt=C800x400"
"카카오, 광복 80주년 기념 ‘톡 안의 태극기 챌린지’ 기부 캠페인 진행","https://www.kakaocorp.com/page/detail/11649","2025-08-05","[""카카오같이가치"", ""광복절"", ""카카오""]","카카오같이가치; 광복절; 카카오","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/7775e776019800001.jpg?type=thumb&opt=C800x400"
"카카오테크 부트캠프 2기 수료… AI, 클라우드 등 실무형 개발 인재 양성","https://www.kakaocorp.com/page/detail/11648","2025-08-04","[""더가깝게카카오"", ""카카오"", ""카카오테크""]","더가깝게카카오; 카카오; 카카오테크","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/7274fffc019800001.jpeg?type=thumb&opt=C800x400"
"카카오, ‘제12회 브런치북 출판 프로젝트’ 대상 수상작 출간","https://www.kakaocorp.com/page/detail/11647","2025-08-04","[""브런치북"", ""브런치스토리"", ""카카오""]","브런치북; 브런치스토리; 카카오","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/73e36256019800001.png?type=thumb&opt=C800x400"
"카카오, 신규 톡디지털카드 ‘러너스 카드’ 출시","https://www.kakaocorp.com/page/detail/11646","2025-07-31","[""카카오"", ""카카오톡"", ""톡디지털카드"", ""러너스"", ""러너블""]","카카오; 카카오톡; 톡디지털카드; 러너스; 러너블","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/5e077e51019800001.jpg?type=thumb&opt=C800x400"
"카카오프렌즈, 여름 한정 테마 '냥냥특집' 테마 굿즈 출시","https://www.kakaocorp.com/page/detail/11645","2025-07-31","[""카카오프렌즈"", ""카카오프렌즈"", ""캐릭터"", ""IP"", ""춘식""]","카카오프렌즈; 카카오프렌즈; 캐릭터; IP; 춘식","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/5de0d0eb019800001.jpg?type=thumb&opt=C800x400"
"카카오임팩트, ‘돕는 AI 컨퍼런스 2025’ 참가자 모집","https://www.kakaocorp.com/page/detail/11634","2025-07-28","[""돕는AI컨퍼런스"", ""카카오임팩트"", ""테크포임팩트""]","돕는AI컨퍼런스; 카카오임팩트; 테크포임팩트","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/4e0048b4019800001.jpg?type=thumb&opt=C800x400"
"카카오, 국내외 최고 성능 경량 멀티모달 언어모델 및 국내 최초 MoE 모델 오픈소스 공개","https://www.kakaocorp.com/page/detail/11632","2025-07-24","[""MoE모델"", ""멀티모달언어모델"", ""오픈소스"", ""카나나"", ""카카오""]","MoE모델; 멀티모달언어모델; 오픈소스; 카나나; 카카오","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/39b121a1019800001.png?type=thumb&opt=C800x400"
"카카오그룹, 집중호우 피해 복구 위해 15억원 기부","https://www.kakaocorp.com/page/detail/11631","2025-07-23","[""기부"", ""카카오""]","기부; 카카오","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/3571f602019800001.png?type=thumb&opt=C800x400"
"카카오, ‘카카오비즈니스 사장님 커뮤니티’ 2기 모집","https://www.kakaocorp.com/page/detail/11630","2025-07-18","[""카카오비즈니스"", ""카카오비즈니스세미나"", ""사장님커뮤니티""]","카카오비즈니스; 카카오비즈니스세미나; 사장님커뮤니티","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/1ad2113f019800001.jpg?type=thumb&opt=C800x400"
"카카오, 유료 콘텐츠 구독 서비스 ‘브런치 작가 멤버십’ 정식 오픈","https://www.kakaocorp.com/page/detail/11629","2025-07-16","[""브런치스토리"", ""브런치작가멤버십"", ""카카오""]","브런치스토리; 브런치작가멤버십; 카카오","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/0cdfaf50019800001.png?type=thumb&opt=C800x400"
